image,ht,wd
apple-1.gif,256,256
apple-10.gif,256,256
apple-11.gif,256,256
apple-12.gif,256,256
apple-13.gif,256,256
apple-14.gif,256,256
apple-15.gif,256,256
apple-16.gif,256,256
apple-17.gif,256,256
apple-18.gif,256,256
apple-19.gif,256,256
apple-2.gif,256,256
apple-20.gif,256,256
apple-3.gif,256,256
apple-4.gif,256,256
apple-5.gif,256,256
apple-6.gif,256,256
apple-7.gif,256,256
apple-8.gif,256,256
apple-9.gif,256,256
bat-1.gif,626,585
bat-10.gif,740,346
bat-11.gif,791,743
bat-12.gif,474,216
bat-13.gif,503,472
bat-14.gif,719,464
bat-15.gif,851,819
bat-16.gif,661,393
bat-17.gif,393,661
bat-18.gif,612,403
bat-19.gif,403,612
bat-2.gif,746,325
bat-20.gif,661,393
bat-3.gif,781,730
bat-4.gif,612,403
bat-5.gif,729,703
bat-6.gif,593,289
bat-7.gif,641,603
bat-8.gif,395,168
bat-9.gif,413,384
beetle-1.gif,613,660
beetle-10.gif,412,418
beetle-11.gif,130,241
beetle-12.gif,257,270
beetle-13.gif,198,201
beetle-14.gif,229,274
beetle-15.gif,354,358
beetle-16.gif,138,282
beetle-17.gif,289,305
beetle-18.gif,150,285
beetle-19.gif,146,215
beetle-2.gif,273,303
beetle-20.gif,269,318
beetle-3.gif,216,217
beetle-4.gif,258,442
beetle-5.gif,156,208
beetle-6.gif,254,262
beetle-7.gif,197,249
beetle-8.gif,313,319
beetle-9.gif,412,418
bell-1.gif,252,255
bell-10.gif,320,420
bell-11.gif,140,167
bell-12.gif,140,167
bell-13.gif,190,253
bell-14.gif,190,253
bell-15.gif,237,303
bell-16.gif,237,303
bell-17.gif,96,110
bell-18.gif,96,110
bell-19.gif,70,87
bell-2.gif,59,64
bell-20.gif,640,480
bell-3.gif,160,210
bell-4.gif,70,87
bell-5.gif,189,222
bell-6.gif,112,149
bell-7.gif,112,149
bell-8.gif,160,210
bell-9.gif,160,210
bird-1.gif,423,296
bird-10.gif,390,386
bird-11.gif,261,288
bird-12.gif,288,261
bird-13.gif,138,142
bird-14.gif,181,150
bird-15.gif,443,520
bird-16.gif,301,227
bird-17.gif,320,252
bird-18.gif,274,241
bird-19.gif,320,252
bird-2.gif,253,248
bird-20.gif,490,380
bird-3.gif,416,613
bird-4.gif,715,739
bird-5.gif,419,407
bird-6.gif,585,583
bird-7.gif,290,305
bird-8.gif,420,422
bird-9.gif,288,261
Bone-1.gif,357,439
Bone-10.gif,357,439
Bone-11.gif,342,439
Bone-12.gif,335,425
Bone-13.gif,357,313
Bone-14.gif,357,439
Bone-15.gif,357,439
Bone-16.gif,357,439
Bone-17.gif,357,439
Bone-18.gif,298,410
Bone-19.gif,357,439
Bone-2.gif,357,439
Bone-20.gif,271,439
Bone-3.gif,357,439
Bone-4.gif,357,439
Bone-5.gif,357,439
Bone-6.gif,357,439
Bone-7.gif,357,439
Bone-8.gif,357,439
Bone-9.gif,357,439
bottle-01.gif,352,288
bottle-02.gif,352,288
bottle-03.gif,352,288
bottle-04.gif,352,288
bottle-05.gif,352,288
bottle-06.gif,352,288
bottle-07.gif,352,288
bottle-08.gif,352,288
bottle-09.gif,352,288
bottle-10.gif,352,288
bottle-11.gif,352,288
bottle-12.gif,352,288
bottle-13.gif,352,288
bottle-14.gif,352,288
bottle-15.gif,352,288
bottle-16.gif,352,288
bottle-17.gif,352,288
